sy_name,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens
"Kepler-1993",1.37,-0.040,"[Fe/H]",,3.60,,1.8338
"KOI-7892",1.15,-0.160,"[Fe/H]",,4.31,,0.3189
"Kepler-975",0.95,0.560,"[Fe/H]",,3.97,,3.9531
"Kepler-917",0.80,-0.380,"[Fe/H]",,4.58,4.170,
"CoRoT-36",1.32,-0.100,"[Fe/H]",,4.16,2.100,
"Kepler-374",0.89,-0.440,"[Fe/H]",,4.48,,0.7964
"Kepler-1124",,0.205,"[Fe/H]",,4.73,,
"Kepler-1027",0.95,-0.200,"[Fe/H]",,3.95,,2.6198
"Kepler-1345",1.24,-0.320,"[Fe/H]",,4.22,,0.8701
"Kepler-1581",1.07,0.060,"[Fe/H]",,4.29,,1.5836
"Kepler-703",1.18,0.050,"[Fe/H]",,4.29,2.690,
"Kepler-1482",0.71,-0.660,"[Fe/H]",,4.62,,6.6159
"Kepler-1209",1.21,0.020,"[Fe/H]",,4.24,,2.2035
"Kepler-879",1.02,0.050,"[Fe/H]",,4.42,4.270,
"Kepler-1204",1.05,-0.040,"[Fe/H]",,4.40,,1.7544
"HD 238914",,-0.250,"[M/H]",,,,
"Kepler-887",1.18,-0.060,"[Fe/H]",,4.37,,0.9972
"Kepler-297",1.04,-0.120,"[Fe/H]",,4.42,,1.5035
"Kepler-1640",1.34,0.260,"[Fe/H]",,4.14,,0.8896
"TOI-1696",0.27,0.190,"[Fe/H]",-2.125,4.96,7.100,16.3000
"Kepler-978",,,,,,,
"HATS-47",0.67,-0.113,"[Fe/H]",-0.796,4.63,8.100,3.3600
"Kepler-1084",,,,0.230,,,
"HD 74156",,,,0.401,,,
"HD 181720",,,,0.361,,,
"Kepler-1911",1.11,-0.220,"[Fe/H]",,4.03,,10.2542
"Kepler-125",,,,,,,
"Kepler-594",0.92,-0.080,"[Fe/H]",,4.56,,3.1966
"HD 77338",0.97,0.280,"[Fe/H]",,4.36,,
"Kepler-1051",1.34,0.060,"[Fe/H]",,4.09,,0.9335
"WASP-59",0.67,,,-0.751,4.51,,2.1701
"Kepler-1773",1.16,,,0.405,4.20,,0.5835
"Kepler-688",0.98,0.020,"[Fe/H]",,4.47,4.270,
"BD+14 4559",,,,-0.424,,,
"Kepler-951",0.79,0.260,"[Fe/H]",,4.51,,1.4110
"Kepler-300",,,,0.311,,,
"Kepler-1136",0.64,-0.220,"[Fe/H]",,4.62,,89.3581
"Kepler-1986",0.91,-0.318,"[M/H]",-0.411,4.66,,3.1617
"Kepler-1266",0.85,-0.140,"[Fe/H]",,4.60,,7.3561
"Kepler-1071",0.53,-2.500,"[Fe/H]",,4.78,,807.6999
"Kepler-1857",0.87,-0.540,"[Fe/H]",,4.38,,3.9538
"HD 103774",,,,0.564,,,
"Kepler-1502",1.44,0.050,"[Fe/H]",,4.13,1.700,
"Kepler-1394",,,,0.806,,,
"Kepler-117",1.21,-0.040,"[Fe/H]",,4.37,,0.3461
"Kepler-1680",0.83,0.200,"[Fe/H]",,4.45,,7.9615
"HD 202696",1.91,0.020,"[Fe/H]",1.369,3.11,1.320,
"Kepler-104",0.81,-0.520,"[Fe/H]",,4.08,,1.0588
"Kepler-295",0.80,-0.340,"[Fe/H]",,4.45,,0.0244
"Kepler-31",1.19,-0.120,"[Fe/H]",,4.38,,1.3755
"6 Lyn",,,,1.156,,,
"Kepler-1515",,,,0.542,,,
"Kepler-1990",1.02,0.160,"[Fe/H]",,4.26,,1.5897
"Kepler-602",1.04,0.160,"[Fe/H]",,4.18,,0.1671
"Kepler-231",,,,-1.054,,,
"Kepler-31",,,,0.266,,,
"GJ 581",0.31,,,-1.885,4.89,,12.2238
"HD 108863",,,,1.375,,,
"GJ 143",0.76,,,-0.706,,,
"Kepler-1550",,,,0.091,,,
"HD 216770",0.90,0.230,"[Fe/H]",-0.100,,3.100,
"Kepler-595",,,,-0.353,,,
"Kepler-625",,,,0.347,,,
"Kepler-786",,,,-0.668,,,
"Kepler-1209",,,,0.319,,,
"Kepler-110",,,,0.256,,,
"Kepler-403",,,,0.633,,,
"Wolf 327",0.41,-0.170,"[Fe/H]",-1.630,4.87,4.100,8.5400
"Kepler-1388",,,,-1.071,,,
"GJ 463",0.47,,,-1.523,4.76,,6.2313
"Kepler-358",,,,-0.145,,,
"Kepler-821",,,,-0.417,,,
"HD 147379",0.59,,,-1.000,4.75,,
"Kepler-236",,,,-1.061,,,
"HD 95872",,,,-0.242,,,
"GJ 143",0.73,0.003,"[Fe/H]",-0.686,4.61,3.800,3.0300
"HD 96127",,,,2.863,,,
"Kepler-1176",,,,-0.233,,,
"Kepler-923",1.10,,,0.333,4.21,,0.6064
"MWC 758",1.66,,,1.020,4.05,,0.2854
"HD 196067",1.26,0.230,"[Fe/H]",0.536,,5.800,
"TOI-2096",0.22,,,-2.193,4.99,,20.3114
"HD 10180",1.06,0.080,"[Fe/H]",0.173,4.39,4.300,
"Kepler-201",1.10,0.040,"[Fe/H]",,4.29,,0.2827
"Kepler-871",1.06,0.070,"[Fe/H]",,4.51,,0.2832
"Kepler-1675",1.14,0.120,"[Fe/H]",,4.42,,1.4266
"Kepler-610",1.10,0.120,"[Fe/H]",,4.37,3.550,
"Kepler-288",0.93,-0.220,"[Fe/H]",,4.35,,0.0505
"Kepler-312",1.20,0.210,"[Fe/H]",,4.43,,1.2744
"Kepler-334",,-0.074,"[Fe/H]",,4.46,,
"Kepler-684",0.77,-0.860,"[Fe/H]",,4.66,,6.1847
"Kepler-30",0.99,0.210,"[Fe/H]",,4.56,,2.3953
"Kepler-705",0.50,0.260,"[Fe/H]",,4.76,,5.1135
"Kepler-1291",0.85,-0.180,"[Fe/H]",,4.60,,1.4563
"Kepler-1517",1.53,0.032,"[M/H]",0.879,4.07,,0.3198
"Kepler-638",0.85,-0.360,"[Fe/H]",,3.96,,0.0196
"Kepler-1494",0.96,0.010,"[Fe/H]",,4.48,4.370,
"Kepler-249",0.43,-0.100,"[Fe/H]",,4.84,,
"Kepler-552",1.03,0.010,"[Fe/H]",,4.42,3.890,
"Kepler-1263",0.85,-0.080,"[Fe/H]",,4.58,,0.8502
"Kepler-1144",0.97,0.140,"[Fe/H]",,4.13,,0.1784
"TrES-2",,,,,,,
"Kepler-252",0.61,-0.200,"[Fe/H]",,4.68,,3.5457
"Kepler-786",0.81,0.090,"[Fe/H]",,4.61,2.510,
"HD 97658",0.75,-0.350,"[Fe/H]",,4.47,,1.3800
"Kepler-166",0.82,-0.280,"[Fe/H]",,4.59,,2.4530
"Kepler-142",0.93,-0.060,"[Fe/H]",,4.22,,0.8169
"Kepler-855",1.03,0.060,"[Fe/H]",,4.42,4.170,
"HD 180617",0.48,-0.040,"[Fe/H]",-1.490,4.90,,
"Kepler-1518",1.06,-0.340,"[Fe/H]",,4.21,,1.6445
"Kepler-1307",1.06,0.060,"[Fe/H]",,4.39,4.070,
"Kepler-226",0.88,-0.180,"[Fe/H]",,4.57,,0.3389
"Kepler-692",0.93,0.080,"[Fe/H]",,4.41,,2.3918
"Kepler-1200",0.74,0.040,"[Fe/H]",,4.63,3.020,
"Kepler-1673",1.10,-0.060,"[Fe/H]",,4.45,,1.3593
"Kepler-1004",1.11,-0.040,"[Fe/H]",,3.43,7.760,
"Kepler-136",1.17,0.120,"[Fe/H]",,4.35,,1.8929
"Kepler-930",1.09,-0.100,"[Fe/H]",,4.13,,2.8424
"HD 7924",0.83,-0.150,"[Fe/H]",,4.59,,
"Kepler-74",1.05,0.238,"[M/H]",0.332,4.14,,0.4986
"Kepler-784",1.06,0.020,"[Fe/H]",,3.96,,0.0867
"HD 222582",1.02,0.050,"[Fe/H]",,4.45,,
"HD 34445",1.07,0.140,"[Fe/H]",0.303,4.21,8.500,
"Kepler-280",,,,-0.091,,,
"Kepler-1407",1.10,0.060,"[Fe/H]",,4.38,,0.7190
"Kepler-603",0.98,-0.200,"[Fe/H]",,4.52,,0.3765
"Kepler-1332",0.78,-0.520,"[Fe/H]",,4.57,,13.1631
"Kepler-1422",1.30,0.070,"[Fe/H]",,4.37,,0.5083
"Kepler-229",0.83,-0.120,"[Fe/H]",,4.61,,3.6660
"KOI-1257",0.99,0.270,"[Fe/H]",,4.32,9.300,0.9900
"Kepler-951",0.79,0.260,"[Fe/H]",,4.51,,3.5455
"Kepler-1356",0.82,-0.020,"[Fe/H]",,4.58,4.900,
"Kepler-752",0.87,-0.080,"[Fe/H]",,4.54,4.070,
"Kepler-852",1.20,0.096,"[M/H]",0.827,3.82,,0.1530
"Kepler-933",0.74,-0.560,"[Fe/H]",,4.63,,2.0199
"Kepler-122",1.03,-0.200,"[Fe/H]",,4.50,,0.7005
"Kepler-440",0.48,-0.300,"[Fe/H]",,4.77,,1.7009
"Kepler-121",0.77,-0.380,"[Fe/H]",,4.61,,9.3651
"Kepler-1610",0.82,-0.100,"[Fe/H]",,4.55,,5.5253
"Kepler-1810",0.92,0.160,"[Fe/H]",,4.39,,11.3090
"Kepler-1633",1.01,-0.500,"[Fe/H]",,4.51,,1.2420
"HD 86081",,,,0.468,,,
"Kepler-434",1.20,0.250,"[Fe/H]",0.330,4.24,4.000,0.6500
"WASP-59",,,,-0.794,,,
"HD 208527",,,,2.863,,,
"HIP 77358",,,,,,,
"HD 208897",1.25,0.210,"[Fe/H]",1.090,3.13,,
"Kepler-315",0.82,-0.400,"[Fe/H]",,4.48,,0.2377
"Kepler-705",0.55,,,-1.319,4.69,,4.5584
"Kepler-1639",,,,0.130,,,
"HIP 70849",,,,-1.048,,,
"HD 68402",,,,0.079,,,
"Kepler-1729",0.55,-0.050,"[Fe/H]",,4.75,,0.5542
"Kepler-811",1.00,-0.140,"[Fe/H]",,4.50,,0.6233
"Kepler-482",0.65,-0.240,"[Fe/H]",,4.60,,9.1761
"Kepler-819",0.83,-0.180,"[Fe/H]",,4.59,,2.4187
"Kepler-953",0.95,0.260,"[Fe/H]",,4.42,8.710,
"Kepler-1879",1.06,-0.044,"[M/H]",0.384,4.10,,0.4315
"Kepler-60",1.12,,,,4.16,5.000,
"Kepler-599",0.78,-0.060,"[Fe/H]",,4.48,,0.5664
"Kepler-242",,,,,,,
"Kepler-1716",,,,,4.66,,
"Kepler-895",,,,-0.905,,,
"Kepler-1198",,,,-0.257,,,
"Kepler-1271",,,,0.185,,,
"Kepler-244",0.96,0.160,"[Fe/H]",,4.48,,1.8688
"Kepler-1856",0.76,,,,4.58,10.900,
"HD 13908",,,,0.715,,,
"Kepler-603",0.98,-0.200,"[Fe/H]",,4.52,,0.3765
"Kepler-1003",0.93,-0.500,"[Fe/H]",,4.57,,3.3685
"Kepler-559",0.94,0.120,"[Fe/H]",,4.33,,1.6918
"Kepler-525",,,,0.510,,,
"Kepler-218",0.98,0.360,"[Fe/H]",,4.39,,1.2591
"Kepler-956",1.09,-0.040,"[Fe/H]",,4.46,,3.4921
"Kepler-616",1.02,,,,4.52,0.400,
"Kepler-1073",,,,-0.089,,,
"HD 23596",0.64,,,-1.152,4.60,,3.0434
"Kepler-125",0.54,,,-1.251,4.70,,4.6823
"Kepler-1173",,,,-0.439,,,
"Kepler-593",1.07,0.100,"[M/H]",0.079,4.43,,1.3115
"HD 23079",1.01,-0.120,"[Fe/H]",0.139,4.48,,
"HD 101930",0.82,,,-0.337,,,
"TOI-1416",0.81,,,-0.460,4.54,,2.2148
"KIC 9663113",,,,0.755,,,
"HIP 70950",0.73,-0.080,"[M/H]",-0.663,4.57,,2.5839
"HD 43691",1.14,0.300,"[M/H]",0.572,4.02,,0.3087
"Kepler-1592",,,,0.433,,,
"HD 42618",,,,-0.030,,,
"Kepler-175",1.02,,,0.194,4.24,,0.6976
"HD 216520",,,,-0.426,,,
"Kepler-475",0.78,,,-0.464,4.47,,1.8120
"Kepler-1177",,,,0.342,,,
"Kepler-545",,,,0.078,,,
"GJ 422",0.36,,,-1.699,,,
"Kepler-1150",0.82,0.296,"[M/H]",-0.402,4.49,,1.8888
"Kepler-1442",1.31,,,0.651,4.10,,0.3781
"TOI-2421",1.13,0.190,"[Fe/H]",0.436,4.00,7.500,0.2970
"Kepler-1014",,,,-0.335,,,
"TOI-2010",1.05,,,0.083,4.40,,1.2011
"Kepler-721",,,,-0.388,,,
"HD 19994",1.36,0.270,"[Fe/H]",,,,
"Kepler-97",0.96,-0.120,"[Fe/H]",,4.46,4.570,
"Kepler-163",1.00,0.000,"[Fe/H]",,4.53,,3.4275
"iot Dra",1.54,0.030,"[Fe/H]",1.722,2.48,2.650,
"Kepler-782",0.98,-0.280,"[Fe/H]",,4.28,,0.4839
"Kepler-791",1.22,0.070,"[Fe/H]",,4.41,,0.0634
"Kepler-1952",,,,,,,
"Kepler-837",0.85,-0.180,"[Fe/H]",,4.56,3.980,
"Kepler-1342",0.83,-0.080,"[Fe/H]",,4.45,,2.7210
"Kepler-1102",1.03,-0.100,"[Fe/H]",,4.35,,0.3215
"Kepler-352",0.84,-0.160,"[Fe/H]",,4.60,,4.0421
"Kepler-999",1.06,-0.060,"[Fe/H]",,4.38,,11.8186
"Kepler-537",1.01,0.141,"[M/H]",-0.039,4.45,,1.4683
"Kepler-979",0.88,0.131,"[M/H]",-0.320,4.52,,1.9696
"Kepler-371",1.00,-0.220,"[Fe/H]",,4.51,,2.9234
"Kepler-771",1.05,-0.040,"[Fe/H]",,4.49,,0.6513
"Kepler-731",1.15,0.210,"[Fe/H]",,4.46,,1.3908
"Kepler-603",0.98,-0.200,"[Fe/H]",,4.52,,1.0743
"Kepler-1023",0.93,0.050,"[Fe/H]",,4.51,4.470,
"Kepler-1109",0.89,-0.280,"[Fe/H]",,4.53,,1.1938
"Kepler-1077",1.02,0.030,"[Fe/H]",,4.43,4.170,
"Kepler-768",0.81,0.060,"[Fe/H]",,4.59,,2.8429
"HD 219139",1.46,-0.200,"[Fe/H]",1.795,2.48,,
"Kepler-317",0.98,0.260,"[Fe/H]",,4.49,,1.5388
"Kepler-392",,-0.297,"[Fe/H]",,4.20,,
"Kepler-856",1.01,0.210,"[Fe/H]",,4.55,,2.0747
"Kepler-616",1.06,-0.020,"[Fe/H]",,4.48,,0.3934
"Kepler-1011",0.91,0.080,"[Fe/H]",,4.52,4.470,
"HD 136925",0.88,-0.217,"[Fe/H]",,4.23,,
"Kepler-1907",0.75,-0.160,"[Fe/H]",,4.51,,0.0477
"Kepler-1936",1.42,0.100,"[Fe/H]",,4.05,,0.0882
"HD 1397",1.32,0.290,"[Fe/H]",0.660,3.82,4.510,0.1470
"Kepler-956",,,,0.042,,,
"Kepler-69",,,,0.133,,,
"HD 4113",,,,0.036,,,
"GJ 674",0.35,,,-1.770,4.86,,10.2100
"HD 108863",1.85,0.200,"[Fe/H]",1.225,3.20,1.800,
"Kepler-1404",,,,-0.376,,,
"Kepler-1061",,,,0.067,,,
"HD 179079",1.05,0.190,"[Fe/H]",0.370,4.21,7.880,
"Kepler-1328",1.00,-0.140,"[Fe/H]",,4.52,,0.9200
"Kepler-402",1.14,-0.220,"[Fe/H]",,4.33,,0.3658
"Kepler-1329",,-0.207,"[Fe/H]",,4.61,,
"Kepler-894",1.06,-0.160,"[Fe/H]",,4.47,,0.3328
"Kepler-259",0.98,-0.200,"[Fe/H]",,4.53,,3.2054
"Kepler-11",0.92,0.000,"[Fe/H]",,4.36,,1.2203
"Kepler-1033",1.03,-0.020,"[Fe/H]",,4.50,,1.1100
"Kepler-56",1.38,0.200,"[Fe/H]",,3.30,,0.0304
"Kepler-347",1.07,-0.060,"[Fe/H]",,4.47,,1.3073
"Kepler-1604",0.81,0.020,"[Fe/H]",,4.59,4.170,
"Kepler-614",0.73,-0.320,"[Fe/H]",,4.51,,2.1702
"Kepler-385",1.16,-0.040,"[Fe/H]",,4.41,,0.2625
"Kepler-275",1.34,0.210,"[Fe/H]",,4.35,,0.5843
"Kepler-219",1.16,0.210,"[Fe/H]",,4.19,4.570,
"Kepler-695",0.75,-0.060,"[Fe/H]",,4.52,,2.4165
"Kepler-178",0.86,-0.180,"[Fe/H]",,4.34,,2.8375
"Kepler-831",0.85,-0.220,"[Fe/H]",,4.45,,3.6896
"Kepler-220",0.65,-0.310,"[Fe/H]",,4.64,8.320,
"Kepler-620",0.93,-0.540,"[Fe/H]",,4.41,,0.0412
"HD 128356",0.65,0.170,"[Fe/H]",-0.444,4.52,10.000,
"Kepler-1987",0.78,0.120,"[Fe/H]",,4.60,,1.9021
"Kepler-1259",0.88,0.070,"[Fe/H]",,4.60,,0.8347
"Kepler-1418",0.59,-0.700,"[Fe/H]",,4.70,,3.4855
"Kepler-506",,,,0.275,,,
"Kepler-675",0.78,-0.100,"[Fe/H]",,4.61,,1.8046
"GJ 687",0.42,0.063,"[Fe/H]",,4.86,,
"Kepler-442",,,,-0.890,,,
"Kepler-1075",0.56,,,,4.73,,
"Kepler-126",1.11,,,,4.28,4.000,
"Kepler-299",,,,-0.050,,,
"Kepler-1073",0.91,-0.240,"[Fe/H]",,4.56,,1.6796
"Kepler-61",0.60,0.020,"[Fe/H]",,4.66,,4.9324
"Kepler-1112",,,,,,,
"Kepler-56",1.32,0.200,"[Fe/H]",,3.31,,0.0068
"Kepler-1669",0.61,-0.200,"[Fe/H]",,4.66,,3.5407
"Kepler-1726",0.85,-0.080,"[Fe/H]",,4.48,,5.2622
"Kepler-1138",0.81,-0.420,"[Fe/H]",,4.45,,6.5534
"HD 152079",1.04,0.290,"[M/H]",0.155,4.31,,0.8913
"Kepler-995",0.74,-0.260,"[Fe/H]",,4.51,,2.6853
"Kepler-283",0.76,-0.370,"[Fe/H]",,4.60,,0.0639
"Kepler-911",1.29,-0.030,"[Fe/H]",,3.97,,1.1367
"GJ 143",,,,-0.686,,,
"Kepler-199",0.98,-0.040,"[Fe/H]",,4.54,,0.3608
"CoRoT-9",,,,-0.254,,,
"Kepler-783",0.84,-0.340,"[Fe/H]",,4.27,,0.9066
"Kepler-700",0.78,-0.580,"[Fe/H]",,4.56,,0.3683
"Kepler-1539",0.82,-0.100,"[Fe/H]",,4.54,,3.0216
"Kepler-1147",1.04,-0.080,"[Fe/H]",,4.45,,0.0663
"Kepler-333",0.59,-0.240,"[Fe/H]",,4.68,,1.7942
"Kepler-1862",0.90,-0.220,"[Fe/H]",,4.57,,0.0352
"Kepler-684",0.77,-0.860,"[Fe/H]",,4.66,,6.1847
"Kepler-394",1.15,-0.120,"[Fe/H]",,4.37,,1.9123
"Kepler-744",1.06,-0.100,"[Fe/H]",,4.06,,9.7949
"HD 212771",1.15,-0.210,"[Fe/H]",1.188,3.50,6.000,
"Kepler-483",1.16,-0.357,"[M/H]",0.439,4.17,,0.5165
"Kepler-1317",,,,-0.432,,,
"HD 158038",1.65,0.220,"[Fe/H]",0.610,3.43,1.980,
"HD 168009",0.98,0.000,"[Fe/H]",0.149,4.31,9.680,
"HD 52265",1.17,0.190,"[Fe/H]",0.352,4.31,3.760,
"Kepler-653",0.97,0.290,"[M/H]",0.119,4.23,,0.6880
"GJ 414",0.65,0.240,"[Fe/H]",-0.924,4.65,12.400,
"Kepler-512",,,,0.174,,,
"Kepler-354",,,,-0.777,,,
"Kepler-1213",1.14,-0.050,"[M/H]",0.395,4.19,,0.5599
"Kepler-1661",,,,-0.513,,,
"Kepler-342",1.16,-0.001,"[M/H]",0.453,4.16,,0.4944
"Kepler-1315",,,,-0.686,,,
"Kepler-885",,,,0.395,,,
"HD 75289",,,,0.312,,,
"Kepler-442",0.61,-0.370,"[Fe/H]",-0.932,4.67,2.900,4.0100
"Kepler-947",,,,0.113,,,
"HD 134606",1.06,0.290,"[Fe/H]",0.072,4.37,9.120,
"Kepler-913",,,,-0.357,,,
"Kepler-531",,,,-0.583,,,
"Kepler-242",,,,-0.642,,,
"HATS-1",,,,,4.40,,
"Kepler-123",,,,0.304,,,
"HD 175541",,,,1.035,,,
"Kepler-395",0.61,,,-1.180,,,
"Kepler-923",,,,0.293,,,
"Kepler-1631",,,,-0.042,,,
"HD 153950",1.11,-0.014,"[M/H]",0.342,4.21,,0.6176
"xi Aql",1.74,-0.110,"[Fe/H]",1.767,2.61,,
"Kepler-164",1.08,-0.140,"[Fe/H]",,4.36,,3.3549
"Kepler-246",0.89,0.140,"[Fe/H]",,4.57,,2.3356
"Kepler-1024",0.84,-0.240,"[Fe/H]",,4.60,,1.8868
"Kepler-523",0.93,-0.030,"[Fe/H]",,4.54,2.450,
"Kepler-149",0.85,-0.200,"[Fe/H]",,4.53,,4.8560
"Kepler-1674",0.93,-0.140,"[Fe/H]",,4.55,,0.6940
"Kepler-1248",1.13,0.120,"[Fe/H]",,4.31,,0.4047
"Kepler-728",0.95,-0.030,"[Fe/H]",,4.49,4.070,
"Kepler-53",1.03,0.160,"[Fe/H]",,4.41,,1.9760
"Kepler-306",0.87,0.160,"[Fe/H]",,4.52,,2.7103
"Kepler-1743",1.27,0.400,"[Fe/H]",,4.12,,0.0232
"Kepler-1346",0.98,-0.400,"[Fe/H]",,4.52,,4.7188
"Kepler-1917",0.86,-0.220,"[Fe/H]",,4.57,,7.1233
"Kepler-820",1.23,0.090,"[Fe/H]",,4.25,2.630,
"Kepler-26",0.55,-0.080,"[Fe/H]",,4.73,,5.0872
"Kepler-569",0.95,0.010,"[Fe/H]",,4.48,4.900,
"OGLE-TR-10",1.17,0.280,,,4.54,,
"Kepler-256",1.07,0.070,"[Fe/H]",,4.50,,0.6721
"Kepler-1410",,-0.034,"[M/H]",,,,
"Kepler-106",0.94,-0.160,"[Fe/H]",,4.39,,3.6523
"Kepler-1773",1.11,0.080,"[Fe/H]",,4.32,,18.1350
"Kepler-797",0.96,-0.020,"[Fe/H]",,4.47,3.890,
"Kepler-610",1.01,0.070,"[Fe/H]",,4.54,,3.1724
"Kepler-315",0.82,-0.400,"[Fe/H]",,4.48,,0.0398
"Kepler-1208",0.79,0.000,"[Fe/H]",,4.54,,5.0658
"Kepler-1099",1.08,0.020,"[Fe/H]",,4.38,,0.3048
"Kepler-1382",1.38,0.360,"[Fe/H]",,4.08,,0.0172
"Kepler-1863",,-0.335,"[Fe/H]",,4.30,,
"Kepler-1641",1.10,-0.340,"[Fe/H]",,4.14,,16.0390
"Kepler-393",1.29,0.032,"[M/H]",0.524,4.21,,0.5607
"Kepler-763",0.88,0.040,"[Fe/H]",,4.58,,3.2961
"Kepler-173",0.79,-0.780,"[Fe/H]",,4.39,,2.3696
"GJ 86",0.88,-0.234,"[M/H]",-0.389,4.59,,2.5116
"Kepler-184",0.87,-0.340,"[Fe/H]",,4.51,,1.5794
"Kepler-358",1.03,-0.020,"[Fe/H]",,4.50,,16.0562
"Kepler-1262",1.01,-0.200,"[Fe/H]",,4.41,,3.1147
"Kepler-1282",1.08,0.210,"[Fe/H]",,4.50,,21.4870
"Kepler-1221",0.69,-0.560,"[Fe/H]",,4.60,,1.0472
"Kepler-1324",0.80,0.320,"[Fe/H]",,4.51,,13.6908
"HIP 54597",0.78,-0.220,"[M/H]",-0.658,4.67,,3.5278
"Kepler-627",1.01,-0.480,"[Fe/H]",,4.17,,0.1305
"HD 69830",0.89,0.012,"[Fe/H]",,4.49,,
"Kepler-984",0.96,0.040,"[Fe/H]",,4.49,3.980,
"Kepler-495",0.77,-0.420,"[Fe/H]",,4.61,,1.4359
"Kepler-281",0.98,0.000,"[Fe/H]",,4.54,,3.4774
"Kepler-995",0.74,-0.260,"[Fe/H]",,4.51,,2.6853
"Kepler-597",0.96,-0.200,"[Fe/H]",,4.54,,1.2481
"Kepler-862",0.80,-0.040,"[Fe/H]",,4.46,,1.5599
"Kepler-238",1.06,0.100,"[Fe/H]",,4.50,,0.4218
"Kepler-386",0.77,-0.220,"[Fe/H]",,4.58,,2.1367
"Kepler-1254",0.79,-0.120,"[Fe/H]",,4.58,,3.3219
"Kepler-1814",0.79,0.200,"[Fe/H]",,4.50,,3.6708
"Kepler-118",0.86,0.200,"[Fe/H]",,4.39,,2.3782
"Kepler-1518",1.06,-0.340,"[Fe/H]",,4.21,,0.0510
"Kepler-201",1.10,0.040,"[Fe/H]",,4.29,,0.8351
"Kepler-217",,,,0.730,,,
"Kepler-284",,,,,4.58,,
"Kepler-988",0.55,-0.320,"[Fe/H]",,4.73,3.160,
"Kepler-630",1.02,0.030,"[Fe/H]",,4.42,4.470,
"Kepler-43",1.25,0.330,"[Fe/H]",,4.26,,0.5200
"Kepler-165",0.73,-0.320,"[Fe/H]",,4.55,,0.4249
"Kepler-977",0.79,-0.140,"[Fe/H]",,4.46,,2.0447
"Kepler-1638",,,,0.391,,,
"Kepler-201",1.10,0.040,"[Fe/H]",,4.29,,0.8351
"Kepler-242",0.81,0.010,"[Fe/H]",,4.59,4.370,
"Kepler-1540",0.63,-0.180,"[Fe/H]",,4.62,,107.4492
"Kepler-1640",1.35,0.260,"[Fe/H]",,4.13,,0.9597
"Kepler-97",,,,-0.037,,,
"Kepler-309",0.51,-0.280,"[Fe/H]",,4.76,,4.4552
"Kepler-221",0.72,-0.420,"[Fe/H]",,4.54,,2.8113
"Kepler-371",1.05,,,,4.51,0.300,
"Kepler-1246",0.63,-0.320,"[Fe/H]",,4.62,,0.1148
"Kepler-756",0.90,-0.120,"[Fe/H]",,4.56,,2.1701
"Kepler-1701",0.86,-0.140,"[Fe/H]",,4.59,,2.2851
"Kepler-359",1.11,-0.080,"[Fe/H]",,4.44,,0.4226
"Kepler-299",1.01,-0.080,"[Fe/H]",,4.52,,1.1525
"Kepler-1065",0.96,-0.020,"[Fe/H]",,4.54,,5.3648
"Kepler-561",0.97,0.160,"[Fe/H]",,4.47,,4.1781
"GJ 463",0.42,,,-1.523,,,
"Kepler-427",,,,0.235,,,
"Kepler-683",,,,-0.068,,,
"HD 93083",,,,-0.391,,,
"rho CrB",1.05,-0.170,"[M/H]",0.258,4.22,,0.6464
"Kepler-500",,,,0.051,,,
"Kepler-325",,,,-0.262,,,
"HD 8326",0.80,0.040,"[M/H]",-0.492,4.55,,2.3196
"HD 128311",0.81,0.100,"[M/H]",-0.518,4.59,,2.6092
"Kepler-203",,,,0.010,,,
"Kepler-22",0.99,-0.270,"[M/H]",-0.190,4.57,,2.2289
"GJ 3293",0.45,,,-1.577,4.78,,6.9000
"ROXs 42",,,,-0.792,,,
"TOI-519",0.37,0.265,"[Fe/H]",-1.836,4.90,0.550,11.4500
"Kepler-1038",,,,-0.480,,,
"Kepler-1053",,,,-0.903,,,
"Kepler-841",,,,-0.368,,,
"HD 3765",0.85,0.171,"[M/H]",-0.416,4.56,,2.3356
"Kepler-585",,,,-0.170,,,
"Kepler-68",1.04,,,,,,
"HD 125595",,,,-0.617,,,
"Kepler-191",,,,-0.441,,,
"51 Peg",1.05,0.200,"[Fe/H]",0.161,4.36,6.760,
"Kepler-916",0.88,,,-0.278,4.47,,1.6860
"Kepler-68",1.06,0.110,"[Fe/H]",,,6.840,
"Kepler-93",0.89,,,,4.51,6.100,
"GJ 674",0.35,-0.280,"[Fe/H]",-1.796,,0.550,
"Kepler-1499",,,,-0.492,,,
"Kepler-595",0.93,0.210,"[Fe/H]",,4.58,,5.9669
"Kepler-1742",,-0.189,"[Fe/H]",,4.61,,
"Kepler-946",0.94,-0.090,"[Fe/H]",,4.47,4.170,
"HD 81688",1.07,-0.320,"[Fe/H]",1.780,2.37,,
"Kepler-788",,,,0.312,,,
"Kepler-819",,,,-0.450,,,
"Kepler-1488",,,,0.579,,,
"Kepler-1537",0.94,0.240,"[Fe/H]",,4.09,,13.1788
"Kepler-214",1.12,-0.091,"[M/H]",0.511,4.05,,0.3540
"Kepler-183",1.04,0.020,"[Fe/H]",,4.50,,4.4543
"Kepler-711",0.70,-0.240,"[Fe/H]",,4.57,,0.2774
"Kepler-797",0.82,-0.300,"[Fe/H]",,4.51,,0.7266
