sy_name,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens
"Kepler-834",0.69,,,-0.745,4.56,,2.5841
"Kepler-100",1.06,0.090,"[M/H]",0.411,4.08,,0.3946
"Kepler-651",,,,,,,
"HD 11506",,,,,,,
"KIC 3558849",0.95,-0.420,"[Fe/H]",,4.44,,0.3558
"Kepler-815",,,,,,,
"Kepler-353",,,,,4.75,,
"Kepler-573",1.01,,,,4.53,0.400,
"HD 62364",1.16,-0.110,"[Fe/H]",0.433,4.14,3.901,
"Kepler-676",,,,,4.73,,
"Kepler-1718",,-0.712,"[Fe/H]",,4.26,,
"Kepler-200",,,,,,,
"Kepler-385",1.05,,,0.144,4.33,,0.9558
"GJ 15",,,,,,,
"Kepler-626",,,,,4.52,,
"Kepler-125",0.53,-0.060,"[Fe/H]",,4.75,,6.8905
"HD 139357",1.35,-0.130,"[Fe/H]",,2.90,3.070,
"Kepler-525",,,,,4.10,,
"Kepler-1190",0.73,0.160,"[Fe/H]",,4.56,,2.9460
"Kepler-879",0.94,,,,4.41,7.000,
"Kepler-1039",0.72,,,-0.649,4.53,,2.3206
"CoRoT-16",1.10,0.190,"[M/H]",,4.36,6.730,0.9300
"HD 130322",,,,-0.235,,,
"Kepler-788",1.14,,,,4.44,0.260,
"Kepler-1210",,-0.313,"[Fe/H]",,4.51,,
"Kepler-1667",,,,,4.18,,
"Kepler-619",,,,,,,
"Kepler-1737",,,,,4.50,,
"Kepler-326",,,,,3.99,,
"Kepler-1159",,,,,,,
"Kepler-276",1.05,,,,4.50,0.400,
"KOI-217",,0.220,"[Fe/H]",,4.72,,
"Kepler-704",,,,,4.43,,
"Kepler-218",1.02,,,,4.40,6.300,
"Kepler-1378",0.67,,,-0.903,4.64,,3.4479
"Kepler-794",,,,0.456,,,
"Kepler-452",0.87,-0.240,"[Fe/H]",,4.58,,2.8521
"HD 165155",1.02,0.090,"[Fe/H]",-0.155,4.49,11.000,
"HD 83443",,,,,,,
"Kepler-29",0.97,-0.040,"[Fe/H]",,4.54,,1.4900
"Kepler-1690",0.94,,,-0.243,4.54,,2.0666
"Kepler-1837",1.01,,,,4.53,,
"Kepler-1854",0.71,-0.540,"[Fe/H]",,4.67,,17.5911
"ROXs 42",,,,,,,
"Kepler-1853",0.72,,,,4.59,14.000,
"HD 207496",,,,,,,
"Kepler-1688",,-0.046,"[M/H]",,,,
"Kepler-868",,-0.176,"[Fe/H]",,4.54,,
"Kepler-1733",1.08,-0.260,"[Fe/H]",,4.44,,6.8409
"HD 106515",0.88,0.030,"[Fe/H]",,4.37,,
"DP Leo",,,,,,,
"HD 50499",,,,0.376,,,
"Kepler-578",,,,,,,
"Kepler-472",,,,,,,
"Kepler-697",,0.015,"[Fe/H]",,4.81,,
"Kepler-542",,,,,,,
"HD 19994",1.34,0.250,"[Fe/H]",0.580,4.29,2.400,
"Kepler-1167",0.70,,,,4.61,,
"Kepler-1377",,-0.187,"[Fe/H]",,4.49,,
"Kepler-1602",,,,,,,
"Kepler-866",0.69,,,,4.62,13.800,
"HD 141937",,,,,,,
"HD 216435",,,,,,,
"Kepler-300",,,,,,,
"Kepler-548",0.80,,,,4.47,14.000,
"Kepler-676",,0.318,"[Fe/H]",,4.40,,
"HD 178911",,0.166,"[M/H]",,,,
"Kepler-62",0.64,-0.460,"[Fe/H]",,4.61,,3.9150
"Kepler-409",,,,,,,
"Kepler-222",0.94,0.120,"[Fe/H]",,4.56,,2.5516
"51 Peg",,,,,,,
"Kepler-1728",,,,,4.58,,
"Kepler-423",1.03,,,,4.52,0.300,
"Kepler-113",,0.174,"[Fe/H]",,4.41,,
"HD 152079",1.08,0.290,"[Fe/H]",,4.38,,
"Kepler-1282",1.08,0.210,"[Fe/H]",,4.50,,21.4870
"Kepler-1312",0.99,0.083,"[M/H]",-0.099,4.48,,1.6438
"HD 43691",,,,,,,
"Kepler-327",,,,,4.74,,
"Kepler-1433",,,,,,,
"Kepler-633",1.03,-0.400,"[Fe/H]",,4.07,,3.0417
"Kepler-1676",1.07,-0.100,"[Fe/H]",,4.47,,12.6637
"Kepler-79",1.18,,,,4.42,0.230,
"HD 99109",,,,,,,
"KMT-2019-BLG-1806L",0.75,,,,,,
"LTT 3780",0.36,,,-1.809,4.85,,9.7455
"LTT 3780",0.14,,,-2.673,5.12,,38.9696
"LTT 3780",,,,,4.95,,
"HD 102117",1.10,0.300,"[Fe/H]",0.124,4.08,6.000,
"LTT 3780",0.38,0.090,"[Fe/H]",-1.777,4.81,,9.6000
"OGLE-2018-BLG-1647L",0.09,,,,,,
"GJ 3021",,,,,,,
"LTT 3780",,,,,4.95,,
"LTT 3780",,,,,,,
"LTT 3780",0.38,0.060,"[Fe/H]",-1.783,4.85,3.100,9.7842
"LTT 3780",0.40,0.280,"[Fe/H]",,4.90,,
"KMT-2021-BLG-0171L",0.78,,,,,,
"KMT-2021-BLG-0171L",0.79,,,,,,
"Kepler-1151",0.93,-0.315,"[M/H]",-0.342,4.62,,2.7106
"Kepler-1081",,,,,,,
"Kepler-1771",0.97,-0.180,"[Fe/H]",,4.54,,0.3278
