pl_name,discoverymethod,disc_year,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_eqt
"Kepler-186 b","Transit",2014,"0.95 m Kepler Telescope",3.88679070,0.034300,1.070,0.095,1.24000,0.00390,5.560000,5.71000000000e+02
"Kepler-603 c","Transit",2016,"0.95 m Kepler Telescope",127.90757740,0.500100,6.500,0.580,34.50000,0.10800,0.690000,4.01000000000e+02
"GJ 463 b","Radial Velocity",2022,"Multiple Telescopes",3448.00000000,3.530000,13.000,1.160,1144.18227,3.60000,2.860000,
"TOI-206 b","Transit",2022,"0.1 m TESS Telescope",0.73631040,0.011200,1.300,0.116,2.24000,0.00705,5.600000,9.10000000000e+02
"HD 100546 b","Imaging",2014,"8.2 m ESO VLT UT4 Yepun Telescope",,53.000000,77.342,6.900,2701.54146,8.50000,0.032100,
"HD 190984 b","Radial Velocity",2009,"3.6 m ESO Telescope",4885.00000000,5.500000,13.000,1.160,1137.82570,3.58000,2.850000,
"HD 204313 b","Radial Velocity",2010,"1.2 m Leonhard Euler Telescope",2041.11539000,3.185000,12.900,1.150,1466.77810,4.61500,3.750000,
"HD 108236 e","Transit",2020,"0.1 m TESS Telescope",19.59002500,0.136700,3.083,0.275,9.71000,0.03060,1.820000,6.36000000000e+02
"Kepler-24 e","Transit",2014,"0.95 m Kepler Telescope",18.99835500,0.138000,2.780,0.248,8.15000,0.02560,2.080000,7.92000000000e+02
"Kepler-36 c","Transit",2012,"0.95 m Kepler Telescope",16.21865000,0.128300,3.679,0.328,7.13000,0.02243,0.787000,9.28000000000e+02
"Kepler-305 d","Transit",2014,"0.95 m Kepler Telescope",16.74000000,0.120100,2.760,0.246,6.20000,0.01951,1.632030,5.76000000000e+02
"GJ 3090 b","Transit",2022,"0.1 m TESS Telescope",2.85310540,0.031650,2.130,0.190,3.34000,0.01051,1.890000,6.93000000000e+02
"Kepler-187 c","Transit",2014,"0.95 m Kepler Telescope",10.64026300,0.099000,2.670,0.238,7.61000,0.02390,2.200000,9.63000000000e+02
"Kepler-188 b","Transit",2014,"0.95 m Kepler Telescope",2.06189700,0.032000,1.680,0.150,3.46000,0.01090,4.010000,1.46300000000e+03
"Kepler-190 b","Transit",2014,"0.95 m Kepler Telescope",2.01999900,0.030000,1.560,0.139,3.05000,0.00961,4.410000,1.16600000000e+03
"Kepler-653 b","Transit",2016,"0.95 m Kepler Telescope",14.70748976,0.119700,1.950,0.174,4.46000,0.01400,3.310000,8.19000000000e+02
